source_batch_id,review_group_id,decision_target_key,finding_member_ids,finding_stable_ids,languages,source_cluster_id,production_file,card_object_id,field_path,lv_source,de_reference,discovery_current,production_current,production_current_mirror,primary_www_parity,proposed,raw_category,canonical_bucket,reason,severity,conflict_status,post_crowdin_state,mapping_resolution,owner_status,owner_decision,owner_new,owner_note,unresolved_category,provenance_type
"BATCH-076","249b93b2b9c8d366","249b93b2b9c8d366e95d99ab7c7b8d6ce98a7d7787a51422732fbd3fa39ad6c3","DISC-G2-A1-FI-L0011","g2/a1/fi|er|idx:162|lv|LANGUAGE_MISMATCH|gpt-5.6-luna","fi","","crowdin-staging/g2/fi-a1.json","er|idx:162","lv","viņš","er","","Tema","Tema","PASS","","LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","Hän","FI er lv: ET Tema → FI Hän for viņš he pronoun. DE untouched.","TARGET_LANGUAGE_REWRITE_REQUIRED","INDIVIDUAL_LINGUISTIC"
"BATCH-076","268ef34a031e79e9","268ef34a031e79e977081a3b5e98d2227014480426f5a85378ba239087801b7d","DISC-G2-A1-FI-L0012","g2/a1/fi|Erbse|idx:163|lv|LANGUAGE_MISMATCH|gpt-5.6-luna","fi","","crowdin-staging/g2/fi-a1.json","Erbse|idx:163","lv","zirnis","Erbse","","Hernes","Hernes","PASS","","LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","Herne","FI Erbse lv: ET Hernes → FI Herne for zirnis pea. DE untouched.","TARGET_LANGUAGE_REWRITE_REQUIRED","INDIVIDUAL_LINGUISTIC"
"BATCH-161","f42e537707fb53d7","f42e537707fb53d7577684100ca1beb3ea5ffeef0379e734912c892884746ec9","DISC-G2-A1-FI-L0014","g2/a1/fi|Erdbeere|idx:76|lv|LINGUISTIC_ERROR|gpt-5.6-luna","fi","","crowdin-staging/g2/fi-a1.json","Erdbeere|idx:76","lv","zemene","Erdbeere","","Maasikas","Maasikas","PASS","","LINGUISTIC_ERROR","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","Mansikka","FI Erdbeere lv: ET Maasikas → FI Mansikka for zemene strawberry. DE untouched.","SEMANTIC_MEANING_REVIEW_REQUIRED","INDIVIDUAL_LINGUISTIC"
"BATCH-077","3a8c3467142d4627","3a8c3467142d46273e8936e8e66aaebd6eff56e5a689e8f5b415d9a573bfecfa","DISC-G2-A1-FI-L0013","g2/a1/fi|Erde|idx:164|lv|LANGUAGE_MISMATCH|gpt-5.6-luna","fi","","crowdin-staging/g2/fi-a1.json","Erde|idx:164","lv","zeme","Erde","","Maa","Maa","PASS","","LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","NELABOT","","FI Erde lv: Maa is genuine Finnish for zeme earth/land. DE untouched.","TARGET_LANGUAGE_REWRITE_REQUIRED","INDIVIDUAL_LINGUISTIC"
"BATCH-079","beef06fb1298120c","beef06fb1298120cefe1c3f12da00c2437878012f2b6b3696388db78abf0f820","DISC-G2-A1-FI-L0003","g2/a1/fi|erst|idx:165|lv, study|TARGET_LANGUAGE_MISMATCH|gpt-5.6-luna","fi","","crowdin-staging/g2/fi-a1.json","erst|idx:165","lv, study","tikai","erst","","{""lv"":""Kõigepealt • Alles"",""study.translation"":""Kõigepealt • Alles"",""study.explanation"":""[\""Pääajatus: erst useimmiten tarkoittaa vain. Kuitenkin tietyissä yhteyksissä se voi tarkoittaa myös ensin.\"",\""erst usein osoittaa, että jotain tapahtuu myöhemmin kuin odotettiin.\"",\""Ich bin erst 18. — Olen vain 18 vuotta vanha.\"",\""Es ist erst Montag. — On vasta maanantai.\"",\""Erst lernen, dann spielen. — Ensin opiskella, sitten leikkiä.\""]"",""study.examples"":""[{\""de\"":\""Erst lernen, dann spielen.\"",\""lv\"":\""Kõigepealt juua, siis sõita.\""},{\""de\"":\""Ich komme erst morgen.\"",\""lv\"":\""Ma tulen alles homme.\""},{\""de\"":\""Er ist erst 18 Jahre alt.\"",\""lv\"":\""Ta on alles 18 aastat vana.\""},{\""de\"":\""Wir essen erst um acht Uhr.\"",\""lv\"":\""Me sööme alles kaheksa ajal.\""}]"",""study.comparison"":""[{\""word\"":\""erst\"",\""meaning\"":\""Kõigepealt • Alles\"",\""example\"":\""Erst lernen, dann spielen. – Erst arbeiten, dann Pause. = Kõigepealt töötada, siis paus.\""},{\""word\"":\""zuerst\"",\""meaning\"":\""Kõigepealt • Alguses\"",\""example\"":\""Zuerst frühstücken wir. = Ensin aamiaistamme.\""},{\""word\"":\""nur\"",\""meaning\"":\""Ainult\"",\""example\"":\""Ich habe nur 5 Euro. = Minulla on vain 5 euroa.\""},{\""word\"":\""dann\"",\""meaning\"":\""Siis\"",\""example\"":\""Dann gehen wir nach Hause. = Sitten menemme kotiin.\""}]"",""study.tip"":""{\""text\"":\""Atceries: laiks/skaits → erst; daudzums → nur.\""}"",""study.important"":""[\""erst un nur abi var skanēt kā “tikai”, bet nav viens un tas pats.\"",\""erst bieži runā par laiku, secību vai vēl tikai sasniegtu punktu; nur ierobežo daudzumu.\"",\""zuerst useimmiten tarkoittaa: ensin.\""]""}","{""lv"":""Kõigepealt • Alles"",""study.translation"":""Kõigepealt • Alles"",""study.explanation"":""[\""Pääajatus: erst useimmiten tarkoittaa vain. Kuitenkin tietyissä yhteyksissä se voi tarkoittaa myös ensin.\"",\""erst usein osoittaa, että jotain tapahtuu myöhemmin kuin odotettiin.\"",\""Ich bin erst 18. — Olen vain 18 vuotta vanha.\"",\""Es ist erst Montag. — On vasta maanantai.\"",\""Erst lernen, dann spielen. — Ensin opiskella, sitten leikkiä.\""]"",""study.examples"":""[{\""de\"":\""Erst lernen, dann spielen.\"",\""lv\"":\""Kõigepealt juua, siis sõita.\""},{\""de\"":\""Ich komme erst morgen.\"",\""lv\"":\""Ma tulen alles homme.\""},{\""de\"":\""Er ist erst 18 Jahre alt.\"",\""lv\"":\""Ta on alles 18 aastat vana.\""},{\""de\"":\""Wir essen erst um acht Uhr.\"",\""lv\"":\""Me sööme alles kaheksa ajal.\""}]"",""study.comparison"":""[{\""word\"":\""erst\"",\""meaning\"":\""Kõigepealt • Alles\"",\""example\"":\""Erst lernen, dann spielen. – Erst arbeiten, dann Pause. = Kõigepealt töötada, siis paus.\""},{\""word\"":\""zuerst\"",\""meaning\"":\""Kõigepealt • Alguses\"",\""example\"":\""Zuerst frühstücken wir. = Ensin aamiaistamme.\""},{\""word\"":\""nur\"",\""meaning\"":\""Ainult\"",\""example\"":\""Ich habe nur 5 Euro. = Minulla on vain 5 euroa.\""},{\""word\"":\""dann\"",\""meaning\"":\""Siis\"",\""example\"":\""Dann gehen wir nach Hause. = Sitten menemme kotiin.\""}]"",""study.tip"":""{\""text\"":\""Atceries: laiks/skaits → erst; daudzums → nur.\""}"",""study.important"":""[\""erst un nur abi var skanēt kā “tikai”, bet nav viens un tas pats.\"",\""erst bieži runā par laiku, secību vai vēl tikai sasniegtu punktu; nur ierobežo daudzumu.\"",\""zuerst useimmiten tarkoittaa: ensin.\""]""}","PASS","","TARGET_LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","DECIDED","LABOT","{""lv"":""Vain • Vasta"",""study.translation"":""Vain • Vasta"",""study.explanation[0]"":""Pääajatus: erst useimmiten tarkoittaa vain. Tietyissä yhteyksissä se voi tarkoittaa myös ensin."",""study.explanation[1]"":""erst usein osoittaa, että jotain tapahtuu myöhemmin kuin odotettiin."",""study.explanation[2]"":""Ich bin erst 18. — Olen vain 18-vuotias."",""study.explanation[3]"":""Es ist erst Montag. — On vasta maanantai."",""study.explanation[4]"":""Erst lernen, dann spielen. — Ensin opiskella, sitten leikkiä."",""study.examples[0].lv"":""Ensin opiskella, sitten leikkiä."",""study.examples[1].lv"":""Tulen vasta huomenna."",""study.examples[2].lv"":""Hän on vasta 18-vuotias."",""study.examples[3].lv"":""Syömme vasta kahdeksalta."",""study.comparison[0].meaning"":""Vasta • vain"",""study.comparison[0].example"":""Erst lernen, dann spielen. – Ensin opiskellaan, sitten leikitään."",""study.comparison[1].meaning"":""Ensin • alussa"",""study.comparison[1].example"":""Zuerst frühstücken wir. – Ensin aamiaistamme."",""study.comparison[2].meaning"":""Vain"",""study.comparison[2].example"":""Ich habe nur 5 Euro. – Minulla on vain 5 euroa."",""study.comparison[3].meaning"":""Sitten"",""study.comparison[3].example"":""Dann gehen wir nach Hause. – Sitten menemme kotiin."",""study.tip.text"":""Muista: aika/määrä → erst; määrärajoitus → nur."",""study.important[0]"":""erst ja nur voivat molemmat kuulostaa \""vain\"", mutta ne eivät ole sama asia."",""study.important[1]"":""erst puhuu usein ajasta, järjestyksestä tai vasta saavutetusta pisteestä; nur rajoittaa määrää."",""study.important[2]"":""zuerst tarkoittaa useimmiten: ensin.""}","FI erst PDF reaudit: comparison[0] single DE→FI pair; erst/zuerst/nur/dann contrast; DE↔FI aligned; no scrambled pairs. DE untouched.","COMPOSITE_SCOPE_REQUIRES_FIELD_LEVEL_OWNER","INDIVIDUAL_LINGUISTIC"
"BATCH-079","c5195c0130714a71","c5195c0130714a71915fcd8ac143fea901fd5ea2098d0c09aad8cd00eeda1661","DISC-G2-A1-FI-L0014","g2/a1/fi|erste|idx:166|lv|LANGUAGE_MISMATCH|gpt-5.6-luna","fi","","crowdin-staging/g2/fi-a1.json","erste|idx:166","lv","pirmais","erste","","Esimene","Esimene","PASS","","LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","Ensimmäinen","FI erste lv: ET Esimene → FI Ensimmäinen for pirmais first ordinal. DE untouched.","TARGET_LANGUAGE_REWRITE_REQUIRED","INDIVIDUAL_LINGUISTIC"
"BATCH-161","520df125d698b9c4","520df125d698b9c4837f8e168699ed363583de2a8ae69e7371a1deab576ea0a3","DISC-G2-A1-FI-L0004","g2/a1/fi|es|idx:167|lv, study.examples|MEANING_ERROR|gpt-5.6-luna","fi","","crowdin-staging/g2/fi-a1.json","es|idx:167","lv, study.examples","tas","es","","{""lv"":""See • Ta • Umbisikuline vorm"",""study.examples"":""[{\""de\"":\""Es regnet.\"",\""lv\"":\""Ma õpin saksa keelt.\""},{\""de\"":\""Es ist kalt.\"",\""lv\"":\""Ta on väsinud.\""},{\""de\"":\""Das Kind schläft.\"",\""lv\"":\""Ta töötab siin.\""},{\""de\"":\""Es ist müde.\"",\""lv\"":\""See on minu raamat.\""},{\""de\"":\""Es regnet.\"",\""lv\"":\""Sajab vihma.\""},{\""de\"":\""Es schneit.\"",\""lv\"":\""Sajab lund.\""}]""}","{""lv"":""See • Ta • Umbisikuline vorm"",""study.examples"":""[{\""de\"":\""Es regnet.\"",\""lv\"":\""Ma õpin saksa keelt.\""},{\""de\"":\""Es ist kalt.\"",\""lv\"":\""Ta on väsinud.\""},{\""de\"":\""Das Kind schläft.\"",\""lv\"":\""Ta töötab siin.\""},{\""de\"":\""Es ist müde.\"",\""lv\"":\""See on minu raamat.\""},{\""de\"":\""Es regnet.\"",\""lv\"":\""Sajab vihma.\""},{\""de\"":\""Es schneit.\"",\""lv\"":\""Sajab lund.\""}]""}","PASS","","MEANING_ERROR","SEMANTIC_OR_MEANING_ERROR","","CRITICAL","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","DECIDED","LABOT","{""lv"":""Se • Se • Persoonaton muoto"",""study.translation"":""Se • Se • Persoonaton muoto"",""study.examples[0].lv"":""Sataa."",""study.examples[1].lv"":""On kylmä."",""study.examples[2].lv"":""Lapsi nukkuu."",""study.examples[3].lv"":""Se on väsynyt."",""study.examples[4].lv"":""Sataa."",""study.examples[5].lv"":""Sataa lunta.""}","FI es FULL repair: ET See/Ta/Umbisikuline + mismatched examples → FI Se/Persoonaton muoto with DE-aligned weather/impersonal lines. DE untouched.","COMPOSITE_SCOPE_REQUIRES_FIELD_LEVEL_OWNER","INDIVIDUAL_LINGUISTIC"
"BATCH-077","4194b588aec91d40","4194b588aec91d405c37d5cb51b945cf8ea83229d7a68bb7294f797a478576c6","DISC-G2-A1-FI-L0015","g2/a1/fi|Esslöffel|idx:168|lv|LANGUAGE_MISMATCH|gpt-5.6-luna","fi","","crowdin-staging/g2/fi-a1.json","Esslöffel|idx:168","lv","ēdamkarote","Esslöffel","","Supilusikas","Supilusikas","PASS","","LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","Ruokalusikka","FI Esslöffel lv: ET Supilusikas → FI Ruokalusikka for ēdamkarote tablespoon. DE untouched.","TARGET_LANGUAGE_REWRITE_REQUIRED","INDIVIDUAL_LINGUISTIC"
"BATCH-076","0ae4efa0cbbac34d","0ae4efa0cbbac34db77e7faeb89500b2f112dcf13001ed871a126bdc0b3c1b31","DISC-G2-A1-FI-L0005","g2/a1/fi|etwas|idx:169|lv, study|TARGET_LANGUAGE_MISMATCH|gpt-5.6-luna","fi","","crowdin-staging/g2/fi-a1.json","etwas|idx:169","lv, study","kaut kas","etwas","","{""lv"":""Midagi • Veidi"",""study.translation"":""Midagi • Veidi"",""study.explanation"":""[\""Põhiidee: etwas tähendab olenevalt kontekstist midagi või natuke.\"",\""Kui etwas asendab tundmatut asja, öeldakse eesti keeles tavaliselt midagi.\"",\""Kui etwas seisab omadussõna või hulga juures, tähendab see sageli natuke.\""]"",""study.examples"":""[{\""de\"":\""Ich möchte etwas trinken.\"",\""lv\"":\""Ma sooviksin midagi juua.\""},{\""de\"":\""Hast du etwas Zeit?\"",\""lv\"":\""Kas sul on natuke aega?\""},{\""de\"":\""Ich bin etwas müde.\"",\""lv\"":\""Ma olen veidi väsinud.\""},{\""de\"":\""Ich habe etwas für dich.\"",\""lv\"":\""Mul on sulle midagi.\""},{\""de\"":\""Das ist etwas teuer.\"",\""lv\"":\""See on veidi kallis.\""}]"",""study.comparison"":""[{\""word\"":\""etwas\"",\""meaning\"":\""Midagi / veidi\"",\""example\"":\""Ich brauche etwas. = Minulla on tarve johonkin.\""},{\""word\"":\""was\"",\""meaning\"":\""Midagi (kõnekeeles)\"",\""example\"":\""Willst du was trinken? = Haluatko jotain juoda?\""},{\""word\"":\""ein bisschen\"",\""meaning\"":\""Natuke\"",\""example\"":\""Ich bin ein bisschen müde. = Olen hieman väsynyt.\""},{\""word\"":\""nichts\"",\""meaning\"":\""Mitte midagi\"",\""example\"":\""Ich brauche nichts. = En tarvitse mitään.\""}]"",""study.tip"":""{\""text\"":\""Atceries: lieta → kaut kas; pakāpe → nedaudz.\""}"",""study.important"":""[\""etwas nav tas pats, kas nichts: etwas nozīmē, ka kaut kas ir, bet nichts nozīmē nekas.\"",\""Latviski dažreiz labāk skan kaut ko, nevis kaut kas, piemēram: etwas trinken = kaut ko dzert.\"",\""Latvian kielessä joskus kuulostaa paremmin jokin, ei jotkin, esimerkiksi: etwas trinken = jotain juoda.\""]""}","{""lv"":""Midagi • Veidi"",""study.translation"":""Midagi • Veidi"",""study.explanation"":""[\""Põhiidee: etwas tähendab olenevalt kontekstist midagi või natuke.\"",\""Kui etwas asendab tundmatut asja, öeldakse eesti keeles tavaliselt midagi.\"",\""Kui etwas seisab omadussõna või hulga juures, tähendab see sageli natuke.\""]"",""study.examples"":""[{\""de\"":\""Ich möchte etwas trinken.\"",\""lv\"":\""Ma sooviksin midagi juua.\""},{\""de\"":\""Hast du etwas Zeit?\"",\""lv\"":\""Kas sul on natuke aega?\""},{\""de\"":\""Ich bin etwas müde.\"",\""lv\"":\""Ma olen veidi väsinud.\""},{\""de\"":\""Ich habe etwas für dich.\"",\""lv\"":\""Mul on sulle midagi.\""},{\""de\"":\""Das ist etwas teuer.\"",\""lv\"":\""See on veidi kallis.\""}]"",""study.comparison"":""[{\""word\"":\""etwas\"",\""meaning\"":\""Midagi / veidi\"",\""example\"":\""Ich brauche etwas. = Minulla on tarve johonkin.\""},{\""word\"":\""was\"",\""meaning\"":\""Midagi (kõnekeeles)\"",\""example\"":\""Willst du was trinken? = Haluatko jotain juoda?\""},{\""word\"":\""ein bisschen\"",\""meaning\"":\""Natuke\"",\""example\"":\""Ich bin ein bisschen müde. = Olen hieman väsynyt.\""},{\""word\"":\""nichts\"",\""meaning\"":\""Mitte midagi\"",\""example\"":\""Ich brauche nichts. = En tarvitse mitään.\""}]"",""study.tip"":""{\""text\"":\""Atceries: lieta → kaut kas; pakāpe → nedaudz.\""}"",""study.important"":""[\""etwas nav tas pats, kas nichts: etwas nozīmē, ka kaut kas ir, bet nichts nozīmē nekas.\"",\""Latviski dažreiz labāk skan kaut ko, nevis kaut kas, piemēram: etwas trinken = kaut ko dzert.\"",\""Latvian kielessä joskus kuulostaa paremmin jokin, ei jotkin, esimerkiksi: etwas trinken = jotain juoda.\""]""}","PASS","","TARGET_LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","DECIDED","LABOT","{""lv"":""Jotain • Vähän"",""study.translation"":""Jotain • Vähän"",""study.explanation[0]"":""Pääajatus: etwas tarkoittaa kontekstista riippuen jotain tai vähän."",""study.explanation[1]"":""Kun etwas korvaa tuntemattoman asian, suomeksi sanotaan yleensä jotain."",""study.explanation[2]"":""Kun etwas on adjektiivin tai määrän edessä, se tarkoittaa usein vähän."",""study.examples[0].lv"":""Haluaisin juoda jotain."",""study.examples[1].lv"":""Onko sinulla vähän aikaa?"",""study.examples[2].lv"":""Olen hieman väsynyt."",""study.examples[3].lv"":""Minulla on sinulle jotain."",""study.examples[4].lv"":""Se on hieman kallis."",""study.comparison[0].meaning"":""Jotain / vähän"",""study.comparison[0].example"":""Ich brauche etwas. = Tarvitsen jotain."",""study.comparison[1].meaning"":""Jotain (puhekielessä)"",""study.comparison[1].example"":""Willst du was trinken? = Haluatko jotain juoda?"",""study.comparison[2].meaning"":""Vähän"",""study.comparison[2].example"":""Ich bin ein bisschen müde. = Olen hieman väsynyt."",""study.comparison[3].meaning"":""Ei mitään"",""study.comparison[3].example"":""Ich brauche nichts. = En tarvitse mitään."",""study.tip.text"":""Muista: asia → jotain; astetta → vähän."",""study.important[0]"":""etwas ei ole sama kuin nichts: etwas tarkoittaa, että jotain on, mutta nichts tarkoittaa ei mitään."",""study.important[1]"":""Suomeksi joskus kuulostaa paremmin jotain juoda kuin jotain juoda: etwas trinken = jotain juoda."",""study.important[2]"":""Suomeksi joskus kuulostaa paremmin jotain, ei jotkin, esimerkiksi: etwas trinken = jotain juoda.""}","FI etwas FULL repair: ET Midagi/Veidi + eesti keeles explanations → FI Jotain/Vähän with natural Finnish study fields. DE untouched.","COMPOSITE_SCOPE_REQUIRES_FIELD_LEVEL_OWNER","INDIVIDUAL_LINGUISTIC"
"BATCH-077","43c961ab86fe12b8","43c961ab86fe12b875815efe51ce88ff475d8f0cd5df5a5d2e85b05ae3a45db8","DISC-G2-A1-FI-L0001","g2/a1/fi|euch|idx:170|lv, study.translation, study.examples, study.comparison|TARGET_LANGUAGE_MISMATCH|gpt-5.6-luna","fi","","crowdin-staging/g2/fi-a1.json","euch|idx:170","lv, study.translation, study.examples, study.comparison","jūs • jums","euch","","{""lv"":""Teid • Teile"",""study.translation"":""Teid • Teile"",""study.examples"":""[{\""de\"":\""Ich sehe euch.\"",\""lv\"":\""Ma näen teid.\""},{\""de\"":\""Ich helfe euch.\"",\""lv\"":\""Ma aitan teid.\""},{\""de\"":\""Ich gebe euch das Buch.\"",\""lv\"":\""Ma annan teile raamatu.\""},{\""de\"":\""Ich danke euch.\"",\""lv\"":\""Ma tänan teid.\""},{\""de\"":\""Ihr erinnert euch.\"",\""lv\"":\""Teie mäletate.\""}]"",""study.comparison"":""[{\""word\"":\""ihr\"",\""meaning\"":\""Teie\"",\""example\"":\""Ihr seid freundlich. = Te olette ystävällisiä.\""},{\""word\"":\""euch\"",\""meaning\"":\""Teid / teile\"",\""example\"":\""Ich helfe euch. = Autan teitä.\""},{\""word\"":\""euer\"",\""meaning\"":\""Teie\"",\""example\"":\""Das ist euer Haus. = Se on teidän talo.\""}]""}","{""lv"":""Teid • Teile"",""study.translation"":""Teid • Teile"",""study.examples"":""[{\""de\"":\""Ich sehe euch.\"",\""lv\"":\""Ma näen teid.\""},{\""de\"":\""Ich helfe euch.\"",\""lv\"":\""Ma aitan teid.\""},{\""de\"":\""Ich gebe euch das Buch.\"",\""lv\"":\""Ma annan teile raamatu.\""},{\""de\"":\""Ich danke euch.\"",\""lv\"":\""Ma tänan teid.\""},{\""de\"":\""Ihr erinnert euch.\"",\""lv\"":\""Teie mäletate.\""}]"",""study.comparison"":""[{\""word\"":\""ihr\"",\""meaning\"":\""Teie\"",\""example\"":\""Ihr seid freundlich. = Te olette ystävällisiä.\""},{\""word\"":\""euch\"",\""meaning\"":\""Teid / teile\"",\""example\"":\""Ich helfe euch. = Autan teitä.\""},{\""word\"":\""euer\"",\""meaning\"":\""Teie\"",\""example\"":\""Das ist euer Haus. = Se on teidän talo.\""}]""}","PASS","","TARGET_LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","DECIDED","LABOT","{""lv"":""Teitä • Teille"",""study.translation"":""Teitä • Teille"",""study.examples[0].lv"":""Näen teid."",""study.examples[1].lv"":""Autan teitä."",""study.examples[2].lv"":""Annan teille kirjan."",""study.examples[3].lv"":""Kiitän teitä."",""study.examples[4].lv"":""Te muistatte."",""study.comparison[0].meaning"":""Te"",""study.comparison[0].example"":""Ihr seid freundlich. = Te olette ystävällisiä."",""study.comparison[1].meaning"":""Teitä / teille"",""study.comparison[1].example"":""Ich helfe euch. = Autan teitä."",""study.comparison[2].meaning"":""Teidän"",""study.comparison[2].example"":""Das ist euer Haus. = Se on teidän talo.""}","FI euch FULL repair: ET Teid/Teile examples + comparison → FI Teitä/Teille accusative/dative jūs • jums. DE untouched.","COMPOSITE_SCOPE_REQUIRES_FIELD_LEVEL_OWNER","INDIVIDUAL_LINGUISTIC"
